chan_name,x,y,z,dist
1-8,-87.25019999999999,87.6495,0.0058,123.67308620023194
1-9,-87.25019999999999,87.6495,0.0058,123.67308620023194
1-10,-87.25059999999999,90.34909999999999,0.0059,125.60106317690945
1-11,-87.25059999999999,90.34909999999999,0.0059,125.60106317690945
1-12,-86.9845,83.54939999999999,0.0049,120.61013838235158
1-13,-86.9845,83.54939999999999,0.0049,120.61013838235158
1-14,-90.023,86.09949999999999,0.0053,124.56831229991838
1-15,-90.023,86.09949999999999,0.0053,124.56831229991838
1-16,-90.71209999999999,90.00659999999999,0.0054,127.78839200009521
1-17,-90.71209999999999,90.00659999999999,0.0054,127.78839200009521
1-18,-88.7281,93.4427,0.0067,128.8573393831333
1-19,-88.7281,93.4427,0.0067,128.8573393831333
1-20,-85.0008,94.79979999999999,0.0062,127.3268945693721
1-21,-85.0008,94.79979999999999,0.0062,127.3268945693721
1-22,-81.2726,93.4429,0.0065,123.84187931055472
1-23,-81.2726,93.4429,0.0065,123.84187931055472
1-24,-79.28819999999999,90.0068,0.0065,119.9493339101139
1-25,-79.28819999999999,90.0068,0.0065,119.9493339101139
1-26,-79.978,86.09909999999999,0.0056,117.51398003986588
1-27,-79.978,86.09909999999999,0.0056,117.51398003986588
1-28,-83.0161,83.5489,0.0053,117.77984356595147
1-29,-83.0161,83.5489,0.0053,117.77984356595147
1-30,-82.5897,79.9891,0.0047,114.9752784945529
1-31,-82.5897,79.9891,0.0047,114.9752784945529
1-32,-86.15629999999999,79.1823,0.0053,117.01600173899293
1-33,-86.15629999999999,79.1823,0.0053,117.01600173899293
1-34,-90.99449999999999,80.5916,0.004399999999999999,121.55247846428306
1-35,-90.99449999999999,80.5916,0.004399999999999999,121.55247846428306
1-36,-94.8483,86.7635,0.0048,128.54611991476054
1-37,-94.8483,86.7635,0.0048,128.54611991476054
1-38,-95.1173,89.97999999999999,0.0054,130.93395724291693
1-39,-95.1173,89.97999999999999,0.0054,130.93395724291693
1-40,-93.7375,94.0458,0.0058,132.78302377898314
1-41,-93.7375,94.0458,0.0058,132.78302377898314
1-42,-90.3026,96.5641,0.0063999999999999994,132.2088687477886
1-43,-90.3026,96.5641,0.0063999999999999994,132.2088687477886
1-44,-84.68339999999999,97.97739999999999,0.0073,129.50231328559346
1-45,-84.68339999999999,97.97739999999999,0.0073,129.50231328559346
1-46,-76.62469999999999,94.6227,0.0072,121.75713533662
1-47,-76.62469999999999,94.6227,0.0072,121.75713533662
1-48,-75.8543,90.75319999999999,0.0063,118.27940707802858
1-49,-75.8543,90.75319999999999,0.0063,118.27940707802858
1-50,-76.4875,85.946,0.006,115.0523905542601
1-51,-76.4875,85.946,0.006,115.0523905542601
1-52,-79.00349999999999,82.0163,0.0055,113.87812115564604
1-53,-79.00349999999999,82.0163,0.0055,113.87812115564604
1-54,-82.6488,74.8466,0.0046,111.50263527379072
1-55,-82.6488,74.8466,0.0046,111.50263527379072
1-56,-86.4249,74.2801,0.0040999999999999995,113.9596270440545
1-57,-86.4249,74.2801,0.0040999999999999995,113.9596270440545
1-58,-89.2974,75.5085,0.0045,116.94254665864773
1-59,-89.2974,75.5085,0.0045,116.94254665864773
